course_code,course_name,credits,day,start_time,end_time,room,lecturer,exam_date,exam_session
BIO3801,BIOSTATISTICS,3,TH,7:30,9:20,SCO 417,ASST.PROF.DR.KOWIT,,
BIO3801,BIOSTATISTICS,3,TH,9:30,12:30,SCO 417,ASST.PROF.DR.KOWIT; ASST.PROF.DR.KOWIT,,
BIO4201,"(BI422,BY421)POLLUTION ECOLOGY",3,TU,9:30,11:20,SCO 315,ASST.PROF.DR.CHAIWAT,,
BIO4202,"(BI423,BY422)URBAN ECOLOGY",3,F,7:30,9:20,SCO 320,ASSOC.PROF.DR.MAKAMAS; DR.WICHIN,,
BIO4203,INTEGRATED COASTAL MANAGEMENT,3,TU,9:30,11:20,SCO 409,ASSOC.PROF.DR.MAKAMAS,,
BIO4203,INTEGRATED COASTAL MANAGEMENT,3,TU,13:30,16:30,SCO 409,ASSOC.PROF.DR.MAKAMAS; ASSOC.PROF.DR.MAKAMAS,,
BIO4204,URBAN FORESTRY,3,TU,13:30,15:20,SCO 315,ASST.PROF.DR.CHAIWAT,,
BIO4301,DEVELOPMENTal BIOLOGY,3,M,9:30,11:20,SCO 417,ASST.PROF.DR.WARAKORN; ASSOC.PROF.DR.KANOKORN,,
BIO4301,DEVELOPMENTal BIOLOGY,3,M,13:30,16:30,SCO 417,ASST.PROF.DR.WARAKORN; ASSOC.PROF.DR.KANOKORN; ASST.PROF.DR.WARAKORN; ASSOC.PROF.DR.KANOKORN,,
BIO4701,INTRODUCTION TO MOLECULAR BIOLOGY AND,3,M,9:30,11:20,SCO 320,ASST.PROF.DR.SUPANEE; ASST.PROF.DR.RUETHAIRAT,,
BIO4701,INTRODUCTION TO MOLECULAR BIOLOGY AND,3,M,13:30,16:30,SCO 320,ASST.PROF.DR.SUPANEE; ASST.PROF.DR.RUETHAIRAT; ASST.PROF.DR.SUPANEE; ASST.PROF.DR.RUETHAIRAT,,
BIO4802,BIOACTIVE NATURAL PRODUCTS,3,M,7:30,9:20,SCL 405,ASST.PROF.DR.THANIWAN,,
BIO4803,BIOLOGY AND AGRICULTURAL APPLICATION,3,TH,9:30,11:20,SCO 310,ASST.PROF.DR.VASUN,,
BIO4803,BIOLOGY AND AGRICULTURAL APPLICATION,3,TH,13:30,16:30,SCO 310,ASST.PROF.DR.VASUN; ASST.PROF.DR.VASUN,,
BIO4804,BIOLOGICAL SAFETY,2,W,11:30,13:20,SCO 320,DR.THANYANUCH,,
BIT2001,,1,M,13:30,15:20,KMB 204,ASSOC.PROF.DR.ORATAI; DR.CHOMPOONUTH,,
BIT2101,,3,W,9:30,12:00,KMB 207,ASST.PROF.DR.THORNTHAN; DR.THANASAN; DR.CHOMPOONUTH,,
BIT3100,,3,TU,7:30,9:20,KMB 207,DR.CHOMPOONUTH,,
BIT3100,,3,TU,9:30,12:30,KMB 203,DR.CHOMPOONUTH; DR.CHOMPOONUTH,,
BIT3101,,3,W,9:30,12:00,KMB 207,ASST.PROF.DR.THORNTHAN; DR.THANASAN; DR.CHOMPOONUTH,,
BIT3103,,3,M,7:30,10:30,KMB 207,ASST.PROF.DR.SANYA,,
BIT3104,,1,TU,13:30,16:30,KMB 201,ASST.PROF.DR.SANYA,,
BIT3106,,3,F,9:30,12:00,KMB 207,ASSOC.PROF.DR.ORATAI,,
BIT3107,,3,F,7:30,9:20,KMB 207,ASST.PROF.DR.VARAPORN,,
